host_since,host_response_time,host_response_rate,host_acceptance_rate,host_is_superhost,host_has_profile_pic,host_identity_verified,latitude,longitude,room_type,accommodates,bathrooms,bedrooms,beds,price,minimum_nights,maximum_nights,has_availability,availability_30,availability_60,availability_90,availability_365,number_of_reviews,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,instant_bookable,calculated_host_listings_count_shared_rooms,reviews_per_month
2016-08-01,within a day,0.7,0.67,f,t,f,-22.97841,-43.41731,Entire home/apt,4,1.0,1.0,2.0,700.0,4,20,t,27,57,78,353,0,,,,,,,,f,0,
2014-09-02,within an hour,1.0,0.33,f,t,f,-22.98322,-43.19567,Entire home/apt,4,2.0,2.0,2.0,743.0,2,30,t,27,57,84,346,0,,,,,,,,f,0,
2014-11-18,within an hour,1.0,0.94,t,t,t,-22.97727,-43.22746,Entire home/apt,4,1.5,1.0,2.0,375.0,2,365,t,0,0,0,78,2,5.0,5.0,5.0,5.0,5.0,5.0,5.0,f,0,0.54
2013-04-11,within an hour,1.0,,f,t,f,-22.91498,-43.2021,Private room,4,3.0,1.0,1.0,185.0,2,180,t,30,60,90,365,3,5.0,5.0,5.0,5.0,5.0,5.0,5.0,f,0,0.03
2012-06-16,within a day,0.78,0.0,f,t,f,-22.96963,-43.18535,Private room,2,1.0,1.0,2.0,203.0,2,1125,t,30,60,90,365,2,5.0,4.0,4.0,5.0,5.0,5.0,5.0,f,0,0.03
2012-07-12,within a few hours,0.95,0.55,f,t,t,-22.98358,-43.19745,Entire home/apt,3,1.0,1.0,2.0,160.0,22,120,t,16,16,24,24,96,4.3,4.41,3.77,4.7,4.65,4.95,4.35,f,0,1.23
2015-12-20,,,,f,t,f,-22.98461,-43.20386,Entire home/apt,2,1.0,1.0,1.0,1050.0,3,10,t,29,59,89,364,0,,,,,,,,f,0,
2016-08-29,within an hour,1.0,0.69,f,t,t,-22.97455,-43.18899,Entire home/apt,4,1.0,1.0,2.0,179.0,4,1125,t,29,59,83,83,40,4.79,4.87,4.77,4.89,4.85,4.89,4.66,f,0,0.57
2016-11-03,within a day,0.9,0.93,f,t,t,-22.87336,-43.55002,Entire home/apt,15,2.0,2.0,4.0,294.0,1,1125,t,29,59,89,364,7,4.86,4.71,4.86,5.0,4.86,4.86,4.43,f,0,0.41
2015-01-29,within a few hours,1.0,0.78,f,t,t,-22.9298,-43.19047,Entire home/apt,3,1.0,1.0,1.0,220.0,1,90,t,29,59,89,364,4,5.0,4.75,5.0,5.0,5.0,4.75,5.0,f,0,0.65
2021-03-11,within a few hours,0.96,0.75,f,t,t,-22.9856,-43.19162,Entire home/apt,4,2.5,2.0,2.0,490.0,3,1125,t,20,50,72,347,2,5.0,5.0,5.0,4.5,4.5,5.0,4.5,f,0,0.4
2019-12-01,a few days or more,0.0,,f,t,f,-22.97347,-43.19061,Shared room,1,1.0,1.0,1.0,65.0,1,1,t,0,0,0,0,0,,,,,,,,t,1,
2016-04-06,within an hour,0.98,0.99,f,t,t,-22.98476,-43.19129,Entire home/apt,5,2.0,2.0,3.0,1101.0,1,365,t,15,36,56,311,1,5.0,5.0,5.0,5.0,5.0,5.0,5.0,t,0,0.12
2020-11-19,,,,f,t,f,-22.89999,-43.18444,Private room,3,1.0,1.0,3.0,150.0,1,365,t,30,60,90,364,0,,,,,,,,t,0,
2019-01-27,,,,f,t,f,-22.91305,-43.19008,Entire home/apt,6,2.0,2.0,3.0,300.0,3,1125,t,12,41,56,308,9,4.44,5.0,4.56,5.0,4.56,4.22,4.56,t,0,2.29
2016-03-13,a few days or more,0.0,,f,t,t,-22.99049,-43.39312,Entire home/apt,10,8.0,5.0,5.0,20135.0,1,1125,t,30,60,90,365,0,,,,,,,,f,0,
2016-09-17,,,1.0,f,t,t,-22.97967,-43.20512,Entire home/apt,2,2.0,2.0,4.0,400.0,30,1125,t,0,0,0,0,2,4.5,5.0,5.0,5.0,4.5,5.0,4.0,f,0,0.04
2010-09-05,within an hour,1.0,0.95,t,t,t,-22.97893,-43.19044,Entire home/apt,2,1.0,2.0,2.0,413.0,3,90,t,29,59,77,257,0,,,,,,,,f,0,
2010-09-30,within a few hours,1.0,0.75,f,t,t,-22.97668,-43.19735,Entire home/apt,5,2.5,3.0,3.0,652.0,3,30,t,0,9,27,302,20,4.88,4.88,4.94,5.0,5.0,4.88,4.76,f,0,0.21
2020-12-26,within an hour,1.0,0.9,f,t,t,-22.97078,-43.18574,Entire home/apt,4,1.0,1.0,2.0,150.0,3,1125,t,25,55,74,327,9,4.33,4.11,4.44,4.44,4.44,4.67,4.56,f,0,1.52
2017-12-29,within an hour,1.0,1.0,t,t,t,-22.97477,-43.19057,Entire home/apt,6,1.5,2.0,3.0,193.0,3,45,t,26,56,76,76,48,4.9,4.92,4.96,5.0,4.94,4.92,4.79,f,0,0.91
2012-05-22,within an hour,1.0,0.71,t,t,t,-22.97141,-43.18902,Entire home/apt,6,3.0,3.0,3.0,2925.0,1,365,t,0,0,19,129,0,,,,,,,,f,0,
2013-01-02,within a few hours,0.96,0.73,f,t,t,-22.96277,-43.17426,Entire home/apt,4,1.0,1.0,3.0,95.0,2,45,t,5,14,32,53,5,4.2,3.8,3.2,4.0,4.8,4.8,4.6,f,0,0.79
2015-02-19,within a few hours,0.61,0.92,f,t,t,-22.98301,-43.19087,Entire home/apt,2,1.0,1.0,1.0,350.0,30,365,t,0,0,0,20,4,4.75,5.0,5.0,5.0,5.0,5.0,4.5,t,0,0.39
2016-08-24,within an hour,0.97,0.79,t,t,t,-22.98603,-43.20021,Entire home/apt,7,6.0,6.0,5.0,2290.0,120,1125,t,30,60,90,365,0,,,,,,,,f,0,
2013-11-23,within an hour,1.0,0.98,f,t,t,-22.98331,-43.19996,Private room,2,1.0,1.0,1.0,537.0,2,30,t,30,60,84,186,27,5.0,4.88,4.96,5.0,5.0,5.0,4.88,f,0,0.28
2022-02-16,within a few hours,0.9,0.94,f,t,f,-22.980452,-43.223202,Entire home/apt,5,1.5,2.0,4.0,400.0,1,60,t,11,11,13,13,5,5.0,5.0,5.0,5.0,5.0,5.0,5.0,t,0,1.33
2016-07-18,,,,f,t,f,-22.85436,-43.60355,Private room,2,1.0,1.0,2.0,300.0,1,1125,t,27,57,87,87,0,,,,,,,,t,0,
2019-04-05,,,,f,t,t,-22.92028,-43.21084,Private room,2,1.0,1.0,2.0,150.0,5,1125,t,29,59,89,364,0,,,,,,,,t,0,
2011-01-22,within an hour,1.0,1.0,t,t,t,-22.987303,-43.190685,Entire home/apt,4,1.0,1.0,3.0,362.0,1,79,t,18,48,78,78,14,4.79,4.79,4.57,5.0,5.0,4.93,4.79,t,0,3.68
2014-06-26,a few days or more,0.25,0.0,f,t,f,-23.00595,-43.29483,Private room,1,1.0,1.0,4.0,130.0,2,30,t,29,59,87,362,0,,,,,,,,f,0,
2016-07-31,,,,f,t,t,-22.98531,-43.22678,Entire home/apt,3,1.0,1.0,4.0,500.0,1,1125,t,0,0,0,171,13,4.92,4.92,4.77,4.92,4.92,5.0,4.69,t,0,0.18
2016-04-18,,,,f,t,f,-23.01998,-43.4759,Entire home/apt,4,2.5,2.0,4.0,929.0,15,1125,t,23,53,83,358,0,,,,,,,,f,0,
2016-06-09,within an hour,1.0,1.0,f,t,f,-22.96913,-43.18963,Entire home/apt,5,3.0,3.0,3.0,600.0,5,20,t,28,58,88,363,0,,,,,,,,t,0,
2012-04-17,,,1.0,f,t,f,-22.96269,-43.17483,Entire home/apt,5,1.0,1.0,5.0,110.0,4,30,t,0,0,0,0,29,4.74,4.96,4.63,5.0,4.85,4.89,4.81,t,0,0.35
,,,,,,,-22.98315,-43.19444,Entire home/apt,4,1.0,1.0,2.0,241.0,1,365,t,17,34,57,219,6,4.5,5.0,4.33,4.5,4.83,5.0,5.0,t,0,1.49
2013-03-02,within an hour,1.0,0.97,t,t,t,-22.98487,-43.1958,Entire home/apt,4,2.5,2.0,2.0,399.0,2,365,t,12,36,51,318,1,4.0,3.0,5.0,5.0,5.0,5.0,5.0,t,0,0.59
2014-08-10,within a day,0.83,0.44,f,t,t,-22.96599,-43.18114,Entire home/apt,4,2.0,2.0,3.0,350.0,30,360,t,9,9,9,162,3,5.0,5.0,4.67,5.0,4.67,5.0,4.67,f,0,0.07
2019-06-10,within an hour,1.0,0.75,f,t,f,-22.97336,-43.19175,Shared room,6,2.0,1.0,10.0,600.0,2,1125,t,27,57,83,173,1,5.0,5.0,4.0,5.0,5.0,5.0,5.0,f,1,0.18
2015-09-22,within a day,0.5,0.76,f,t,t,-22.97882,-43.18842,Entire home/apt,5,1.0,1.0,4.0,250.0,2,1125,t,0,15,35,274,74,4.84,4.92,4.9,5.0,4.44,5.0,4.73,f,0,1.04
2020-04-15,within a few hours,0.8,0.72,f,t,f,-22.98211,-43.19279,Entire home/apt,4,1.0,1.0,2.0,200.0,3,365,t,22,52,74,349,2,4.5,4.5,4.5,5.0,5.0,5.0,4.5,t,0,0.32
2015-08-24,within a day,0.82,0.68,f,t,t,-22.95715,-43.175,Private room,2,1.0,1.0,1.0,130.0,1,1125,t,11,11,20,93,65,4.75,4.81,4.87,4.82,4.71,4.76,4.69,f,0,0.8
2015-11-23,,,,f,t,t,-22.99807,-43.41702,Private room,2,1.0,1.0,1.0,205.0,30,1125,t,30,60,90,90,4,5.0,4.75,5.0,5.0,5.0,5.0,5.0,f,0,0.12
2014-06-23,within an hour,1.0,1.0,f,t,t,-22.91343,-43.18678,Private room,2,1.5,1.0,1.0,180.0,1,1125,t,30,60,90,365,0,,,,,,,,f,0,
2013-11-03,,,,f,t,t,-22.91666,-43.18825,Entire home/apt,2,1.0,1.0,1.0,413.0,5,180,t,27,57,87,362,15,4.73,4.87,4.93,5.0,4.93,4.4,4.67,f,0,0.15
2013-10-06,,,1.0,f,t,t,-22.98707,-43.23172,Entire home/apt,6,4.0,3.0,6.0,3356.0,2,1125,t,29,59,89,364,5,4.8,5.0,5.0,5.0,5.0,5.0,5.0,f,0,0.05
2013-03-25,within an hour,1.0,0.98,t,t,t,-22.968353,-43.18232,Entire home/apt,4,1.0,1.0,2.0,329.0,3,16,t,24,54,79,354,17,4.94,5.0,4.94,5.0,5.0,5.0,4.94,t,0,2.67
2017-02-20,within a few hours,0.8,0.75,f,t,t,-22.98226,-43.20366,Private room,2,1.0,1.0,1.0,129.0,3,1125,t,5,35,60,60,27,5.0,5.0,4.89,5.0,4.93,5.0,4.93,f,0,0.62
